257000094,답풍리,37.817312,128.066774,32310,강원도 홍천군
257000095,답풍리부대앞,37.814383,128.061548,32310,강원도 홍천군
257000096,정신들,37.80839,128.055396,32310,강원도 홍천군
257000097,화상대1리,37.807132,128.050505,32310,강원도 홍천군
257000098,화상대1리,37.804756,128.04173,32310,강원도 홍천군
257000099,솔골,37.804253,128.027976,32310,강원도 홍천군
257000100,아오라지,37.803767,127.998396,32310,강원도 홍천군
257000101,풍암2리,37.719016,128.175219,32310,강원도 홍천군
257000102,검산1리,37.706377,128.206683,32310,강원도 홍천군
257000103,검산보건진료소,37.704731,128.220075,32310,강원도 홍천군
257000104,생곡1리,37.701809,128.249038,32310,강원도 홍천군
257000105,율전리,37.748978,128.308838,32310,강원도 홍천군
257000106,상뱃재승강장,37.743875,128.319983,32310,강원도 홍천군
257000107,괸돌,37.735009,128.361094,32310,강원도 홍천군
257000108,자운리,37.752625,128.376146,32310,강원도 홍천군
257000109,방내3리,37.786152,128.276881,32310,강원도 홍천군
257000110,신흥동승강장,37.770824,128.29626,32310,강원도 홍천군
257000111,가진포,37.766048,128.294014,32310,강원도 홍천군
257000112,와야리.진거리,37.81547,128.136821,32310,강원도 홍천군
257000113,와야1리,37.82196,128.14915,32310,강원도 홍천군
257000114,와야1리,37.81127,128.126842,32310,강원도 홍천군
257000115,서곡리.받실,37.809153,128.114279,32310,강원도 홍천군
257000116,사갑,37.813161,128.09768,32310,강원도 홍천군
257000117,도관1리.떼소,37.817673,128.078392,32310,강원도 홍천군
257000118,답풍리,37.817404,128.06676,32310,강원도 홍천군
257000119,답풍리부대앞,37.814356,128.06165,32310,강원도 홍천군
257000120,정신들,37.808475,128.05534,32310,강원도 홍천군
257000121,화상대1리,37.807226,128.050501,32310,강원도 홍천군
257000122,화상대1리,37.804692,128.041839,32310,강원도 홍천군
257000123,솔골,37.80419,128.027899,32310,강원도 홍천군
257000124,아오라지,37.803682,127.998397,32310,강원도 홍천군
257000125,철정리,37.80685,127.991232,32310,강원도 홍천군
257000126,역내리.평천.가리산휴양림,37.838905,128.017247,32310,강원도 홍천군
257000127,역내리.평천.가리산휴양림,37.8388,128.016933,32310,강원도 홍천군
257000128,역내리.천감,37.847143,128.017948,32310,강원도 홍천군
257000129,역내리.천감,37.847155,128.017812,32310,강원도 홍천군
257000130,천현1리.샘재,37.850687,128.016977,32310,강원도 홍천군
257000131,천현2리.모르골입구,37.855005,128.013956,32310,강원도 홍천군
257000132,천현2리.모르골입구,37.854998,128.013877,32310,강원도 홍천군
257000133,자은승강장,37.867066,128.016424,32310,강원도 홍천군
257000134,자은승강장,37.867161,128.016348,32310,강원도 홍천군
257000135,천현1리,37.863407,128.030002,32310,강원도 홍천군
257000136,천현1리,37.863299,128.030002,32310,강원도 홍천군
257000137,천현1리,37.859867,128.035483,32310,강원도 홍천군
257000138,자은,37.869452,128.020809,32310,강원도 홍천군
257000139,자은,37.869374,128.020906,32310,강원도 홍천군
257000140,자은2리.두촌중학교앞,37.873093,128.023442,32310,강원도 홍천군
257000141,자은1리.원동입구,37.879823,128.023213,32310,강원도 홍천군
257000142,원동1리입구,37.882726,128.021788,32310,강원도 홍천군
257000143,원동입구,37.883632,128.023212,32310,강원도 홍천군
257000144,장남1리.남덕동,37.891822,128.034466,32310,강원도 홍천군
257000145,장남1리.옥수수시험장,37.900063,128.037834,32310,강원도 홍천군
257000146,장남1리.옥수수시험장,37.899865,128.037734,32310,강원도 홍천군
257000147,장남1리.원거리마을,37.897691,128.037414,32310,강원도 홍천군
257000148,장남1리.원거리마을,37.897704,128.037488,32310,강원도 홍천군
257000149,장남승강장,37.906491,128.044391,32310,강원도 홍천군
257000150,장남2리,37.918303,128.032132,32310,강원도 홍천군
257000151,장남2리,37.918344,128.03219,32310,강원도 홍천군
